Query: 浙江大学紫金港校区海洋大楼南侧浙江大学建筑工程学院A楼(南大门), Truth: 紫金港路隧道东200米浙江大学建筑工程学院A楼(南门), Distance: 19123
Query: 14号大街南边玫琳凯东北门出口, Truth: 下沙经济技术开发区14号路35号玫琳凯(东北门), Distance: 165
Query: 众安花园附近世纪联华萧然东路店地下停车场(出入口子), Truth: 萧然东路76号世纪联华萧然东路店地下停车场(出入口), Distance: 12549
Query: 江陵路西江陵路滨兴路口停车库, Truth: 江陵路滨兴路交叉口南70米江陵路滨兴路口停车场, Distance: 785
Query: 屏湖线与710县道交叉口东边考川便民服务中心, Truth: 屏考线考川便民服务点, Distance: 22
Query: 市心中路西人民广场地铁B口, Truth: 5号线人民广场地铁站B口, Distance: 770
Query: 东新河桥附近中西医院中医馆, Truth: 东新街道东新路沈家路25号下城区中西医结合医院中医馆, Distance: 766
Query: 越王珠宝南面星巴克(解百世纪店), Truth: 解放路249号解百新世纪第GF层及第1F层的002/101号商铺星巴克(解百新世纪店), Distance: 310
Query: 兆丰路与红泰五路较差路口东390米杭萧钢材场(红泰三路), Truth: 新街镇红肯农场经济开发区红肯路305号杭萧钢构(红泰三路), Distance: 939
Query: 稻香园北区东北方向停车点(虹园社区西北), Truth: 潮王支路29附近停车场(虹园社区西北), Distance: 394
Query: 建德市老年大学东侧信访办, Truth: 新安路1正东方向110米中共建德市委建德市人民政府信访局, Distance: 790
Query: 府苑新村附近西溪天堂西轩酒店地下停车场, Truth: 紫金港路21号西溪天堂国际旅游综合体9号杭州西轩酒店杭州西轩酒店停车场, Distance: 250
Query: 新康路东永丰家园小区3栋, Truth: 萧山区永丰家园3栋, Distance: 32056
Query: 城隍庙西南方向萧山农商银行同二分理处, Truth: 城隍庙路36号萧山农商银行(同二分理处), Distance: 8471
Query: 文化路70号老剧院文化路老剧院停车地, Truth: 文化路70号老剧院老剧院停车场, Distance: 833
Query: 萍水街南方奈雪的茶饮品店(城西银泰店), Truth: 丰潭路380号1F083、085商铺奈雪的茶(城西银泰店), Distance: 645
Query: 升晖图文北东角萧山国际创业中心管理会议室, Truth: 金城路1038号萧山水务大厦a座8层萧山国际创业中心管理办公室/会议室, Distance: 70600
Query: 商贸街120号商贸街农商银行(靖江支行), Truth: 靖江镇街道商贸街120号萧山农商银行(靖江支行), Distance: 31140
Query: 大园路123号临安市万马爱充充电站, Truth: 大园路123号万马爱充充电站(临安市青山科技园越秀星汇城), Distance: 452
Query: 西文街与东新路交叉口西北方向麟云跆拳道, Truth: 东新路655号西联广场3楼麟云跆拳道(西联广场店), Distance: 944
Query: 文三路与万塘路交叉路口西南方沿万塘路直行约60米的莱茵达大厦, Truth: 万塘路与文三路交叉口西南方向70米莱茵达大厦-接送点, Distance: 734
Query: 广宁小区南对面半岛花园27号楼, Truth: 广宁社区蜀山路半岛花园北门半岛花园27幢, Distance: 574
Query: 苑中路16号, Truth: 苑中路16号杭州市拱墅区大关街道总工会, Distance: 17821
Query: 朝阳轮胎东边家园南区东3门, Truth: 新安村新安新秀家园南区(东3门), Distance: 999
Query: 庆丰新村对面教育超市浙大玉泉校区店, Truth: 浙大路38号浙江大学玉泉校区内(近浙江大学玉泉校区北门)浙江大学玉泉校区教育超市(玉泉店), Distance: 996
Query: 育7才北路东边德小区45栋, Truth: 新康路广德小区45幢, Distance: 21144
Query: 塔山公园附近余杭金港商贸城(正门), Truth: 余杭镇金港商贸城(正门), Distance: 237
Query: 博美路东转塘星光荟茶百道, Truth: 茶百道星光荟店, Distance: 885
Query: 黎明公园附近三期20幢, Truth: 草庄路与明石路交叉路口往西北约100米滨江·金色黎明三期20幢滨江·金色黎明三期20幢, Distance: 10875
Query: 靖港村8组5 2号东大门商超(岩南), Truth: 靖江镇靖江街道靖港村8组52号东大门超市(岩南线), Distance: 833
Query: 德胜路与电信巷交叉口向东北直线距离90米左右东新农贸市场, Truth: 石桥街道杭州家私市场商务楼德胜路电信巷8号东新农贸市场东新农贸市场, Distance: 854
Query: 学院路与文一交路叉口东南方向270米江耀苑11幢, Truth: 文一路227号耀江文萃苑11幢, Distance: 587
Query: 江南大道1090号中南购物中心F3层女洗手间, Truth: 江南大道1090号中南购物中心F3层女洗手间(中南购物中心), Distance: 671
Query: 兆丰路东边杭萧钢构公司(红泰三路), Truth: 新街镇红肯农场经济开发区红肯路305号杭萧钢构(红泰三路), Distance: 1123
Query: 乔中和路南街交叉路西南边阳光绿色雅苑东门, Truth: 乔司朗诗花漫里(乔中路)阳光绿色雅苑(东门), Distance: 777
Query: 惠兰雅路338号丁兰广场A座F1卡西欧钟表蕙兰广场店, Truth: 蕙兰雅路388号丁兰广场A座F1层卡西欧(丁兰广场A座), Distance: 897
Query: 海创科技中心附近蜂站空间店铺, Truth: 仓前街道创客空间大厦1幢104号蜂站创客空间店, Distance: 694
Query: 欢乐大道东边广厦天星苑2栋-6, Truth: 欢乐大道天星苑2-6号, Distance: 18944
Query: 横店集团旁昆伦中心地下停车场(入口处), Truth: 昆仑中心地下停车场(入口), Distance: 750
Query: 赵公堤路北面杭州金溪山庄停车库(出口), Truth: 杨公堤37号附近杭州金溪山庄停车场(出口), Distance: 500
Query: 中海紫藤苑以东紫郡西苑小区(西南门), Truth: 紫郡西苑(西南门), Distance: 24471
Query: 滨盛路和长河路交叉口东方半岛国际小区停车场(西南门), Truth: 水印巷与滨盛路交叉口东南100米半岛国际停车场(西南门), Distance: 363
Query: 中国计量大学仰仪中楼对面中国计量大学仰仪北楼西侧门), Truth: 学源街258号中国计量大学中国计量大学仰仪北楼(西门), Distance: 37587
Query: 温州路52-68号崇里小区3号楼, Truth: 温州路52-68号崇庆里3幢, Distance: 37913
Query: 德胜中路369号附近博养门诊南门, Truth: 德胜中路369号附近杭州博养医院门诊(南门), Distance: 894
Query: 美院北街东段中国美院象山中心校区-美术教育系, Truth: 转塘镇中国美术学院象山中心校区中国美术学院象山中心校区-美术教育系, Distance: 964
Query: 竞舟北路西边布丁酒店(杭州城西银泰三坝地铁站分店), Truth: 萍水西街80号布丁酒店(杭州城西银泰三坝地铁站店), Distance: 847
Query: 学士路20, Truth: 学士路20思鑫坊思鑫坊7号楼, Distance: 526
Query: 杭州威盾门窗往西金地城鹭影轩-14, Truth: 西湖区金地自在城鹭影轩14幢, Distance: 550
Query: 市政路与鸿宁路南200米路西的盈丰路地铁站A出口, Truth: 2号线盈丰路地铁站A口, Distance: 685
Query: 头格路西侧大厦南门, Truth: 月雅路西200米头格临江大厦(南门), Distance: 8060
Query: 沙上路与金沙大道交叉口往北走100米电子烟, Truth: 金沙大道560号龙湖天街5楼观光电梯旁RELX悦刻电子烟(龙湖天街店), Distance: 174
Query: 中策橡胶集团有限公司东南角杭州朝阳橡胶责任有限公司(12号大街), Truth: 下沙区下沙经济技术开发区10大街1号杭州朝阳橡胶有限公司(12号大街), Distance: 891
Query: 萧然南路南向萧山民族团结促进会邮政局北边, Truth: 萧然南路468号杭州市萧山区民族团结促进会(萧山邮政管理局北), Distance: 128
Query: 潮涌路东面钱福东南1号门, Truth: 望水路钱塘福苑(东南1门), Distance: 724
Query: 新塘路619号酒店, Truth: 新塘路619号月园宾馆, Distance: 18432
Query: 沈家路以北杭州医院中医馆, Truth: 东新街道东新路沈家路25号下城区中西医结合医院中医馆, Distance: 116660
Query: 北塘河绿道以南绿都湖滨花园碧云天苑12号楼, Truth: 金惠路绿都湖滨花园碧云天苑12幢, Distance: 1161
Query: 未来新湖中心附近奥克斯未来中心2楼联豪牛排, Truth: 余杭塘路与创景路交叉口奥克斯未来中心2楼联豪牛排(奥克斯广场店), Distance: 628
Query: 黄龙金茂悦10-10-7拱苑路金茂悦府鲜丰水果超市, Truth: 拱苑路金茂悦府10幢10-8号鲜丰水果超市(黄龙金茂悦店), Distance: 28321
Query: 雪泉家纺西南方向老观音殿, Truth: 人民路瓜沥老观音殿, Distance: 0
Query: 东教路西侧源清中学-校史长廊, Truth: 湖州街67号附近杭州市源清中学-校史长廊, Distance: 682
Query: 金昌路以南铭雅苑东小区32幢, Truth: 金家渡中路铭雅苑东区32幢, Distance: 720
Query: 运河路5-4号2幢附近乐活天购物商场, Truth: 运河路5-4号2幢附近乐活天地, Distance: 8777
Query: 10号大街与7号大街交叉口东浙江太古可口可乐有限公司(南门), Truth: 太古可口可乐饮料有限公司南门浙江太古可口可乐饮料有限公司(南门), Distance: 970
Query: 学林街1712写字大楼, Truth: 学林街1712克亚时代广场(南门), Distance: 467
Query: 秋石高架路出口与钱江路交叉口附近上城区城市管理局地上停车场(出入口), Truth: 清江路与秋石快速路入口交叉口南50米杭州市上城区城市管理局汽车场(东北门), Distance: 491
Query: 五星路201明珠-1, Truth: 五星路201金基绿城·明珠国际1号楼, Distance: 926
Query: 龙虾记对面新传媒接送处, Truth: 杭州新传媒产业大厦附近杭州新传媒产业大厦-接送点, Distance: 920
Query: 南庄兜幼儿园(建设中)旁边南庄兜西苑停车点(出入口), Truth: 储运路南庄兜西苑停车场南庄兜西苑停车场(出入口), Distance: 15299
Query: 文二西路与紫荆花路交叉口往南405米别墅44栋, Truth: 紫荆花路世纪·西溪别墅(五联西苑西)世纪西溪别墅44幢, Distance: 38
Query: 紫金港路隧道东方蓝田, Truth: 紫金港路隧道浙江大学紫金港校区蓝田2舍, Distance: 972
Query: 元宝塘公园附近邻居中心元宝塘地下停车场, Truth: 元宝塘巷邻居中心元宝塘停车场, Distance: 834
Query: 留石高架路以南太阳城全民K歌, Truth: 石祥路239号太阳城F1层友唱·全民K歌(太阳城), Distance: 140882
Query: 学源街165附近停车场(中国计量大学卫生所分所西), Truth: 学源街165附近停车场(中国计量大学现代科技学院卫生所东区分所西), Distance: 827
Query: 新塘路与阳光路口往北千岛湖停车场, Truth: 阳光路17附近千岛湖秀水广场停车场, Distance: 358
Query: 卓越绿站汽车充电站边白沙(东南门), Truth: 白沙公园(东南门), Distance: 642
Query: 桂花路和花坞南路交叉口新世纪文印店(花坞南路店), Truth: 花坞南路9-3号新世纪文印社(花坞南路店), Distance: 498
Query: 宜山路与藕舫南路交叉口南100米浙江大学紫金港校区图书馆(东南门), Truth: 宜山路与藕舫南路交叉口南100米浙江大学紫金港校区图书馆(东南门), Distance: 738
Query: 新工新村内16号楼, Truth: 紫阳街道新工新村16幢新工新村16幢, Distance: 375
Query: 浙大城市学院附属高级中学正对面蔡马新村82号楼, Truth: 拱墅区蔡马新村82幢, Distance: 20618
Query: 西湖大方北道绿城元福里南1门, Truth: 涌金立交桥绿城元福里(南1门), Distance: 940
Query: 海蓝金融科技中心附近海蓝·天行国际B2商务写字楼, Truth: 海蓝·天行国际B2裙楼, Distance: 7930
Query: 米古0茶西北方向浙江经贸职业学院-外来车a辆临时停放库, Truth: 学林街浙江经贸职业技术学院浙江经贸职业技术学院-外来车辆临时停放处, Distance: 476
Query: 信义巷南方老干部活动场所, Truth: 笕桥镇石桥路198号老干部活动中心, Distance: 989
Query: 七贤路西侧七贤桥村综合服务漏, Truth: 东西大道七贤桥村综合大楼七贤桥村综合大楼, Distance: 21909
Query: 排岭南路与骑龙巷交叉口西南50米药品大厦正南门, Truth: 排岭南路与骑龙巷交叉口西南50米医药大楼(南门), Distance: 678
Query: 横燕子弄6幢边公共厕所, Truth: 横燕子弄6幢边公共厕所(横燕子弄), Distance: 263
Query: 江陵路东侧骏宝宝马5S店, Truth: 江陵路1740号杭州骏宝行汽车销售服务有限公司, Distance: 690
Query: 明德路和滨文路交叉口东北向浙江艺术职业学院(南1门, Truth: 滨文路518号浙江艺术职业学院(南1门), Distance: 914
Query: 乐真托育对面杭州华联(豪园店), Truth: 月明路988号(江南豪园南门)杭州华联(江南豪园店), Distance: 842
Query: 崇仁路西面怪兽充电站(十足西溪店), Truth: 文二西路780号1层怪兽充电(十足西溪银座店), Distance: 47710
Query: 西溪花园·芦雪苑对面杭州智慧产业创业园停车点(出入口), Truth: 文一西路857号润龙·智慧产业园地下停车场杭州智慧产业创业园停车场(出入口), Distance: 47122
Query: 严东关路南侧建德七里扬帆姚坞客运码头, Truth: 乾潭镇子胥路274号建德七里扬帆姚坞旅游码头, Distance: 102559
Query: 萍水西街北侧布丁酒店(杭州城西银泰三坝地铁站分店), Truth: 萍水西街80号布丁酒店(杭州城西银泰三坝地铁站店), Distance: 716
Query: 科园路以西杭州幼儿师范学院幼儿园东北门, Truth: 隽逸路南50米浙师大杭州幼儿师范学院第二附属幼儿园(东北门), Distance: 3627
Query: 池华街与紫萱路交叉口农贸市场, Truth: 池华街与紫萱路交叉口(西湖紫萱小学对面)紫萱农贸市场, Distance: 673
Query: 小营公园附近小营民居小区7栋, Truth: 上城区小营巷民居7幢, Distance: 984
Query: 广和街与新城路交叉口西南方向景和园, Truth: 广和街6广大·景和园公寓, Distance: 22890
Query: 闻涛路与伟业路交界太阳国际恒温游泳池, Truth: 伟业路730号太阳国际公寓会所1层太阳国际恒温游泳馆, Distance: 831
Query: 西浦路东侧朗诗寓住宿(东信大道分店), Truth: 西浦路1503号滨科大厦4层朗诗寓(东信大道店), Distance: 27951
Query: 滨盛路南侧银色港湾公寓停车处, Truth: 滨盛路4301号附近银色港湾公寓停车场, Distance: 29867
Query: 石镜街以西功臣山34, Truth: 临安区功臣山34号楼, Distance: 46996
Query: 学正街与25号大街交叉口南230米江山食府菜馆, Truth: 25号大街1120(金沙学府)江山食府时尚农家土菜(云水店), Distance: 894
Query: 学源街998号浙江传媒学校(下沙)体育场, Truth: 白杨街道下沙高教园区学源街998号浙江传媒学院(下沙校区)体育馆, Distance: 49990
Query: 钱投近江国际西对面国际C楼, Truth: 望江东路332号中豪·望江国际C楼(杭州), Distance: 1884
Query: 建设二路北边保利·霞飞小区(南1门), Truth: 建设二路399附近保利·霞飞郡(南1门), Distance: 151
Query: 浙江省大学科技园孵化基地东南100米依威能源汽车充电站万家花园, Truth: 江干天城路95号万家花园-万和苑依威能源汽车充电站(万家花园-万和苑), Distance: 7227
Query: 东新😞东路与东文路交汇处滨兴东区, Truth: 东新东路与东文路交汇处滨江·万家星城东区, Distance: 16180
Query: 万达中路与三江路东北角物美超市闻堰店, Truth: 万达中路169号物美超市(萧山闻堰店), Distance: 27677
Query: 浙大小区西南面杭州电子科技大学图书馆浙大小区西, Truth: 文一路115杭州电子科技大学文一校区-图书馆附近杭州电子科技大学图书馆(浙大小区西), Distance: 19712
Query: 京惠花园东北方京会花园停车场小桔充电站, Truth: 机场路35-49号京惠花园商业区停车场小桔充电站(江干区京惠花园), Distance: 182
Query: 众安广场对街三果农蔬店新白马公寓店, Truth: 工人路恒隆广场对面189号三农果蔬店(新白马公寓店), Distance: 1492
Query: 庆春东路南方邵逸夫停车位, Truth: 庆春东路3号浙江大学医学院附属邵逸夫医院内浙江大学医学院附属邵逸夫医院内部地下停车场, Distance: 576
Query: 振兴西路附近艺术楼, Truth: 振兴西路余杭高级中学余杭高级中学艺术楼, Distance: 19709
Query: 乔中路绿色雅i苑东门, Truth: 乔司朗诗花漫里(乔中路)阳光绿色雅苑(东门), Distance: 19452
Query: 杭州松朗冷链物流有限公司对面联德机械公司南门, Truth: 江干区经济技术开发区18号大街77号联德机械(杭州)有限公司(南门), Distance: 594
Query: 上塘路600号上塘迪卡侬, Truth: 上塘路600号南区(百安居内)迪卡侬(大关店), Distance: 5418
Query: 里街南侧230米左右美术教育系, Truth: 转塘镇中国美术学院象山中心校区中国美术学院象山中心校区-美术教育系, Distance: 940
Query: 千长线与707县道交叉口附近淳安光大环保能源有限公司, Truth: 金峰乡千岛湖风景区光大环保能源(淳安)有限公司, Distance: 142034
Query: 山阴路北侧4栋, Truth: 山阴路施家河村4幢, Distance: 629
Query: 古墩路598号怪兽共享充电, Truth: 古墩路598号怪兽充电(华联超市同人精华店), Distance: 70445
Query: 墩祥街与嘉仁路交叉路口处千岛湖小鱼儿饭馆, Truth: 三墩镇同仁商业街B区124号千岛湖小鱼儿, Distance: 124542
Query: 25号大街东侧江山食府金沙学府, Truth: 25号大街1120(金沙学府)江山食府时尚农家土菜(云水店), Distance: 19378
Query: 望月社区文化小广场西面花苑1幢, Truth: 紫荆花北路望月公寓桃花苑1幢, Distance: 739
Query: 水岸枫庭东南侧人民审判法庭, Truth: 之江路768号附近杭州市中级人民法院审判法庭, Distance: 679
Query: 博美路东转塘插百道(星光荟店), Truth: 茶百道星光荟店, Distance: 389
Query: 临安塘湾郊野公园北面吴越山庄62座, Truth: 吴越街(吴越山庄)吴越山庄62号楼, Distance: 17
Query: 天目山公路服务站绿色餐厅正南旅游职业校区, Truth: 天目山镇藻天线与304县道交叉口南200米临安区旅游职业学校, Distance: 440
Query: 荷花池头与河坊街交界清流汉韵餐馆(柳浪闻莺店), Truth: 河坊街528号清流汉韵(柳浪闻莺店), Distance: 767
Query: 通盛路东侧杭州城东医院车库, Truth: 德胜东路3339号3幢杭州城东医院停车场, Distance: 472
Query: 山阴路与工人路交叉口偏北三农水果店(新白马公寓店), Truth: 工人路恒隆广场对面189号三农果蔬店(新白马公寓店), Distance: 22911
Query: 得力大厦西南方向恒大留夫鸭, Truth: 新塘街道罗婆路504号留夫鸭(恒大帝景店), Distance: 10886
Query: 电信巷8号杭州东新农贸, Truth: 石桥街道杭州家私市场商务楼德胜路电信巷8号东新农贸市场东新农贸市场, Distance: 9139
Query: 塘康路268塘栖园区, Truth: 塘康路268塘栖工业园, Distance: 414
Query: 萍水街333号旺登电子(武林中心店), Truth: 萍水街333号新武林门电器市场旺登电子(新武林商业中心店), Distance: 6690
Query: 拱新路东北侧老干部特爱工作室活动中心, Truth: 建德市老干部特爱工作室活动中心, Distance: 271
Query: 海涛路东边住宅区西北门, Truth: 凌云街与海涛路交叉口南100米宋都东郡国际·嘉湾(西北门), Distance: 44806
Query: 候潮路以北候潮门居委会, Truth: 候潮路55号附近候潮门社区居委会, Distance: 1028
Query: 从所前中路与联东路交叉口向南450米左右就到天地墅园了, Truth: 所前中路90号天地墅园, Distance: 553
Query: 兴国路198号临城花苑停车处, Truth: 兴国路198号临城花苑停车场, Distance: 2764
Query: 天星苑(公交赞南60迷(西南出口, Truth: 场环路与欢乐大道交叉口南100米天星苑(西南门), Distance: 694
Query: 城南路南面大厦地下停车处出口, Truth: 通济大厦地下停车场(出入口), Distance: 214
Query: 大街260号正泰中自科技创业园2(东门), Truth: 上城区开发区6号大街260号正泰中自科技园2(东门), Distance: 149912
Query: 新记潮食铺东南处3座南门, Truth: 古墩路616号附近同人精华3座(南门), Distance: 581
Query: 古墩路东侧西湖政新11幢, Truth: 古墩路582号政新花园11幢, Distance: 25621
Query: 城北路88号浙江农1林学院西门外农林大学美食街, Truth: 浙江农林大学大西门商业街浙江农林大学美食街, Distance: 55136
Query: 百脑汇科技大厦南边西湖数源软件园南门, Truth: 天目山路170号西湖数源软件园(南门), Distance: 539
Query: 曙光路与黄龙路交叉口东北180米陈经纶体育学校公厕, Truth: 曙光路126号附近杭州市陈经纶体育学校公共厕所, Distance: 10628
Query: 西一路与蒋墅街岔路口大园北区西南2门, Truth: 西一路390号附近大园新城北区(西南2门), Distance: 366
Query: 杭州养正学校东南侧约130米天地中心1期-5, Truth: 22号大街杭州养正学校东南侧约130米保利天地中心1期5幢, Distance: 618
Query: 智格路东侧橡胶集团西侧门, Truth: 之江东路与智格路交叉口东北150米中策橡胶集团有限公司(西门), Distance: 698
Query: 学林街628杭州电子科技大学研究生宿舍(南1门), Truth: 学林街628杭州电子科技大学研究生公寓(南1门), Distance: 149193
Query: 十足(银丰大厦店)附近海亮大厦停车场入口, Truth: 海亮大厦停车场(出入口), Distance: 518
Query: 临和家苑南区旁枣李家园小区(东南门), Truth: 新丝路与超峰东路交叉口西150米枣李家园(东南门), Distance: 41141
Query: 四号大街32号, Truth: 杭州经济技术开发区四号大街32号杭州藤久寿机械制造有限公司, Distance: 546
Query: 大华·海派风范茗园附近n同城印象东区西门, Truth: 狮山路424号附近同城印象东区(西1门), Distance: 561
Query: 同顺街与永福路交叉口向东150米北苑西区69幢, Truth: 余杭区西溪北苑西区69幢, Distance: 598
Query: 金鸡路555号城品华庭停车(出入口), Truth: 金鸡路555号城品华庭停车场(出入口), Distance: 707
Query: 联想宝贝旁边耀江文萃11幢, Truth: 文一路227号耀江文萃苑11幢, Distance: 679
Query: 滨盛路北向太阳国际公寓3幢, Truth: 太阳国际3幢1307杭州九天国际服装城贝灵君服饰商行, Distance: 68145
Query: 秋石高架路和临半路交叉口西苑4号楼, Truth: 半山路620号杭钢西苑4号楼, Distance: 19104
Query: 501县道东侧深澳客运站点, Truth: 桐常线附近深澳客运站, Distance: 44958
Query: 园丁公寓南面星光茶百道, Truth: 茶百道星光荟店, Distance: 26070
Query: 华侨饭店东北方向西湖国贸东南门, Truth: 太平里与白傅路交叉口西北50米西湖国贸中心(东南门), Distance: 705
Query: 之江路西北方向明珠国际中心东停车场出口, Truth: 明珠国际商务中心东停车场(出口), Distance: 26774
Query: 迎春南路东北方向梧桐住宅西区, Truth: 迎春南路512号附近梧桐公寓-西区, Distance: 784
